 Step   rOH   Energy
   1      1.41729460    0.74128084E-01
   2      1.41779460    0.73896431E-01
   3      1.41829460    0.73665323E-01
   4      1.41879460    0.73434759E-01
   5      1.41929460    0.73204739E-01
   6      1.41979460    0.72975260E-01
   7      1.42029460    0.72746322E-01
   8      1.42079460    0.72517925E-01
   9      1.42129460    0.72290067E-01
  10      1.42179460    0.72062748E-01
  11      1.42229460    0.71835965E-01
  12      1.42279460    0.71609719E-01
  13      1.42329460    0.71384009E-01
  14      1.42379460    0.71158833E-01
  15      1.42429460    0.70934191E-01
  16      1.42479460    0.70710081E-01
  17      1.42529460    0.70486503E-01
  18      1.42579460    0.70263456E-01
  19      1.42629460    0.70040938E-01
  20      1.42679460    0.69818950E-01
  21      1.42729460    0.69597489E-01
  22      1.42779460    0.69376556E-01
  23      1.42829460    0.69156149E-01
  24      1.42879460    0.68936267E-01
  25      1.42929460    0.68716909E-01
  26      1.42979460    0.68498074E-01
  27      1.43029460    0.68279762E-01
  28      1.43079460    0.68061972E-01
  29      1.43129460    0.67844701E-01
  30      1.43179460    0.67627951E-01
  31      1.43229460    0.67411720E-01
  32      1.43279460    0.67196006E-01
  33      1.43329460    0.66980809E-01
  34      1.43379460    0.66766128E-01
  35      1.43429460    0.66551962E-01
  36      1.43479460    0.66338311E-01
  37      1.43529460    0.66125173E-01
  38      1.43579460    0.65912547E-01
  39      1.43629460    0.65700432E-01
  40      1.43679460    0.65488829E-01
  41      1.43729460    0.65277735E-01
  42      1.43779460    0.65067149E-01
  43      1.43829460    0.64857072E-01
  44      1.43879460    0.64647502E-01
  45      1.43929460    0.64438437E-01
  46      1.43979460    0.64229878E-01
  47      1.44029460    0.64021824E-01
  48      1.44079460    0.63814272E-01
  49      1.44129460    0.63607224E-01
  50      1.44179460    0.63400677E-01
  51      1.44229460    0.63194631E-01
  52      1.44279460    0.62989084E-01
  53      1.44329460    0.62784037E-01
  54      1.44379460    0.62579488E-01
  55      1.44429460    0.62375436E-01
  56      1.44479460    0.62171880E-01
  57      1.44529460    0.61968821E-01
  58      1.44579460    0.61766255E-01
  59      1.44629460    0.61564184E-01
  60      1.44679460    0.61362605E-01
  61      1.44729460    0.61161519E-01
  62      1.44779460    0.60960923E-01
  63      1.44829460    0.60760818E-01
  64      1.44879460    0.60561203E-01
  65      1.44929460    0.60362076E-01
  66      1.44979460    0.60163436E-01
  67      1.45029460    0.59965284E-01
  68      1.45079460    0.59767618E-01
  69      1.45129460    0.59570437E-01
  70      1.45179460    0.59373740E-01
  71      1.45229460    0.59177526E-01
  72      1.45279460    0.58981795E-01
  73      1.45329460    0.58786546E-01
  74      1.45379460    0.58591778E-01
  75      1.45429460    0.58397490E-01
  76      1.45479460    0.58203681E-01
  77      1.45529460    0.58010351E-01
  78      1.45579460    0.57817498E-01
  79      1.45629460    0.57625122E-01
  80      1.45679460    0.57433221E-01
  81      1.45729460    0.57241796E-01
  82      1.45779460    0.57050845E-01
  83      1.45829460    0.56860367E-01
  84      1.45879460    0.56670362E-01
  85      1.45929460    0.56480828E-01
  86      1.45979460    0.56291765E-01
  87      1.46029460    0.56103173E-01
  88      1.46079460    0.55915049E-01
  89      1.46129460    0.55727394E-01
  90      1.46179460    0.55540206E-01
  91      1.46229460    0.55353486E-01
  92      1.46279460    0.55167231E-01
  93      1.46329460    0.54981441E-01
  94      1.46379460    0.54796115E-01
  95      1.46429460    0.54611253E-01
  96      1.46479460    0.54426854E-01
  97      1.46529460    0.54242916E-01
  98      1.46579460    0.54059440E-01
  99      1.46629460    0.53876423E-01
 100      1.46679460    0.53693866E-01
 101      1.46729460    0.53511768E-01
 102      1.46779460    0.53330127E-01
 103      1.46829460    0.53148943E-01
 104      1.46879460    0.52968216E-01
 105      1.46929460    0.52787944E-01
 106      1.46979460    0.52608126E-01
 107      1.47029460    0.52428763E-01
 108      1.47079460    0.52249852E-01
 109      1.47129460    0.52071393E-01
 110      1.47179460    0.51893386E-01
 111      1.47229460    0.51715830E-01
 112      1.47279460    0.51538723E-01
 113      1.47329460    0.51362065E-01
 114      1.47379460    0.51185855E-01
 115      1.47429460    0.51010093E-01
 116      1.47479460    0.50834778E-01
 117      1.47529460    0.50659908E-01
 118      1.47579460    0.50485484E-01
 119      1.47629460    0.50311503E-01
 120      1.47679460    0.50137967E-01
 121      1.47729460    0.49964873E-01
 122      1.47779460    0.49792221E-01
 123      1.47829460    0.49620010E-01
 124      1.47879460    0.49448239E-01
 125      1.47929460    0.49276908E-01
 126      1.47979460    0.49106016E-01
 127      1.48029460    0.48935563E-01
 128      1.48079460    0.48765546E-01
 129      1.48129460    0.48595966E-01
 130      1.48179460    0.48426822E-01
 131      1.48229460    0.48258112E-01
 132      1.48279460    0.48089838E-01
 133      1.48329460    0.47921996E-01
 134      1.48379460    0.47754587E-01
 135      1.48429460    0.47587610E-01
 136      1.48479460    0.47421065E-01
 137      1.48529460    0.47254950E-01
 138      1.48579460    0.47089264E-01
 139      1.48629460    0.46924008E-01
 140      1.48679460    0.46759179E-01
 141      1.48729460    0.46594779E-01
 142      1.48779460    0.46430804E-01
 143      1.48829460    0.46267256E-01
 144      1.48879460    0.46104133E-01
 145      1.48929460    0.45941434E-01
 146      1.48979460    0.45779159E-01
 147      1.49029460    0.45617307E-01
 148      1.49079460    0.45455877E-01
 149      1.49129460    0.45294869E-01
 150      1.49179460    0.45134281E-01
 151      1.49229460    0.44974114E-01
 152      1.49279460    0.44814365E-01
 153      1.49329460    0.44655035E-01
 154      1.49379460    0.44496123E-01
 155      1.49429460    0.44337628E-01
 156      1.49479460    0.44179549E-01
 157      1.49529460    0.44021886E-01
 158      1.49579460    0.43864638E-01
 159      1.49629460    0.43707804E-01
 160      1.49679460    0.43551383E-01
 161      1.49729460    0.43395375E-01
 162      1.49779460    0.43239778E-01
 163      1.49829460    0.43084593E-01
