 Step   rOH   Energy
   1      1.41729460    0.55448609E-01
   2      1.41779460    0.55264188E-01
   3      1.41829460    0.55080170E-01
   4      1.41879460    0.54896556E-01
   5      1.41929460    0.54713346E-01
   6      1.41979460    0.54530538E-01
   7      1.42029460    0.54348133E-01
   8      1.42079460    0.54166129E-01
   9      1.42129460    0.53984526E-01
  10      1.42179460    0.53803324E-01
  11      1.42229460    0.53622522E-01
  12      1.42279460    0.53442120E-01
  13      1.42329460    0.53262118E-01
  14      1.42379460    0.53082514E-01
  15      1.42429460    0.52903308E-01
  16      1.42479460    0.52724500E-01
  17      1.42529460    0.52546089E-01
  18      1.42579460    0.52368076E-01
  19      1.42629460    0.52190458E-01
  20      1.42679460    0.52013236E-01
  21      1.42729460    0.51836410E-01
  22      1.42779460    0.51659978E-01
  23      1.42829460    0.51483941E-01
  24      1.42879460    0.51308297E-01
  25      1.42929460    0.51133047E-01
  26      1.42979460    0.50958190E-01
  27      1.43029460    0.50783725E-01
  28      1.43079460    0.50609652E-01
  29      1.43129460    0.50435970E-01
  30      1.43179460    0.50262679E-01
  31      1.43229460    0.50089779E-01
  32      1.43279460    0.49917268E-01
  33      1.43329460    0.49745147E-01
  34      1.43379460    0.49573415E-01
  35      1.43429460    0.49402072E-01
  36      1.43479460    0.49231116E-01
  37      1.43529460    0.49060548E-01
  38      1.43579460    0.48890367E-01
  39      1.43629460    0.48720573E-01
  40      1.43679460    0.48551164E-01
  41      1.43729460    0.48382141E-01
  42      1.43779460    0.48213503E-01
  43      1.43829460    0.48045250E-01
  44      1.43879460    0.47877381E-01
  45      1.43929460    0.47709895E-01
  46      1.43979460    0.47542793E-01
  47      1.44029460    0.47376073E-01
  48      1.44079460    0.47209736E-01
  49      1.44129460    0.47043780E-01
  50      1.44179460    0.46878205E-01
  51      1.44229460    0.46713011E-01
  52      1.44279460    0.46548197E-01
  53      1.44329460    0.46383764E-01
  54      1.44379460    0.46219709E-01
  55      1.44429460    0.46056033E-01
  56      1.44479460    0.45892736E-01
  57      1.44529460    0.45729816E-01
  58      1.44579460    0.45567274E-01
  59      1.44629460    0.45405109E-01
  60      1.44679460    0.45243320E-01
  61      1.44729460    0.45081907E-01
  62      1.44779460    0.44920870E-01
  63      1.44829460    0.44760207E-01
  64      1.44879460    0.44599919E-01
  65      1.44929460    0.44440005E-01
  66      1.44979460    0.44280465E-01
  67      1.45029460    0.44121298E-01
  68      1.45079460    0.43962503E-01
  69      1.45129460    0.43804081E-01
  70      1.45179460    0.43646030E-01
  71      1.45229460    0.43488350E-01
  72      1.45279460    0.43331042E-01
  73      1.45329460    0.43174103E-01
  74      1.45379460    0.43017534E-01
  75      1.45429460    0.42861335E-01
  76      1.45479460    0.42705504E-01
  77      1.45529460    0.42550042E-01
  78      1.45579460    0.42394947E-01
  79      1.45629460    0.42240220E-01
  80      1.45679460    0.42085860E-01
  81      1.45729460    0.41931867E-01
  82      1.45779460    0.41778239E-01
  83      1.45829460    0.41624977E-01
  84      1.45879460    0.41472080E-01
  85      1.45929460    0.41319548E-01
  86      1.45979460    0.41167379E-01
  87      1.46029460    0.41015575E-01
  88      1.46079460    0.40864134E-01
  89      1.46129460    0.40713055E-01
  90      1.46179460    0.40562339E-01
  91      1.46229460    0.40411984E-01
  92      1.46279460    0.40261991E-01
  93      1.46329460    0.40112358E-01
  94      1.46379460    0.39963086E-01
  95      1.46429460    0.39814174E-01
  96      1.46479460    0.39665622E-01
  97      1.46529460    0.39517428E-01
  98      1.46579460    0.39369593E-01
  99      1.46629460    0.39222116E-01
 100      1.46679460    0.39074997E-01
 101      1.46729460    0.38928235E-01
 102      1.46779460    0.38781829E-01
 103      1.46829460    0.38635780E-01
 104      1.46879460    0.38490086E-01
 105      1.46929460    0.38344748E-01
 106      1.46979460    0.38199765E-01
 107      1.47029460    0.38055136E-01
 108      1.47079460    0.37910861E-01
 109      1.47129460    0.37766939E-01
 110      1.47179460    0.37623371E-01
 111      1.47229460    0.37480154E-01
 112      1.47279460    0.37337290E-01
 113      1.47329460    0.37194778E-01
 114      1.47379460    0.37052617E-01
 115      1.47429460    0.36910806E-01
 116      1.47479460    0.36769346E-01
 117      1.47529460    0.36628235E-01
 118      1.47579460    0.36487474E-01
 119      1.47629460    0.36347062E-01
 120      1.47679460    0.36206998E-01
 121      1.47729460    0.36067282E-01
 122      1.47779460    0.35927913E-01
 123      1.47829460    0.35788892E-01
 124      1.47879460    0.35650217E-01
 125      1.47929460    0.35511889E-01
 126      1.47979460    0.35373906E-01
 127      1.48029460    0.35236268E-01
 128      1.48079460    0.35098975E-01
 129      1.48129460    0.34962026E-01
 130      1.48179460    0.34825421E-01
 131      1.48229460    0.34689160E-01
 132      1.48279460    0.34553241E-01
 133      1.48329460    0.34417665E-01
 134      1.48379460    0.34282431E-01
 135      1.48429460    0.34147539E-01
 136      1.48479460    0.34012988E-01
 137      1.48529460    0.33878778E-01
 138      1.48579460    0.33744907E-01
 139      1.48629460    0.33611377E-01
 140      1.48679460    0.33478186E-01
 141      1.48729460    0.33345334E-01
 142      1.48779460    0.33212820E-01
 143      1.48829460    0.33080645E-01
 144      1.48879460    0.32948807E-01
 145      1.48929460    0.32817306E-01
 146      1.48979460    0.32686141E-01
 147      1.49029460    0.32555313E-01
 148      1.49079460    0.32424821E-01
 149      1.49129460    0.32294664E-01
 150      1.49179460    0.32164842E-01
 151      1.49229460    0.32035354E-01
 152      1.49279460    0.31906200E-01
 153      1.49329460    0.31777380E-01
 154      1.49379460    0.31648893E-01
 155      1.49429460    0.31520738E-01
 156      1.49479460    0.31392916E-01
 157      1.49529460    0.31265426E-01
 158      1.49579460    0.31138266E-01
 159      1.49629460    0.31011438E-01
 160      1.49679460    0.30884940E-01
 161      1.49729460    0.30758772E-01
 162      1.49779460    0.30632934E-01
 163      1.49829460    0.30507425E-01
 164      1.49879460    0.30382244E-01
 165      1.49929460    0.30257392E-01
 166      1.49979460    0.30132867E-01
 167      1.50029460    0.30008670E-01
 168      1.50079460    0.29884800E-01
 169      1.50129460    0.29761256E-01
 170      1.50179460    0.29638038E-01
 171      1.50229460    0.29515146E-01
 172      1.50279460    0.29392579E-01
 173      1.50329460    0.29270336E-01
 174      1.50379460    0.29148418E-01
 175      1.50429460    0.29026824E-01
 176      1.50479460    0.28905553E-01
 177      1.50529460    0.28784605E-01
 178      1.50579460    0.28663980E-01
 179      1.50629460    0.28543676E-01
 180      1.50679460    0.28423695E-01
 181      1.50729460    0.28304034E-01
 182      1.50779460    0.28184695E-01
 183      1.50829460    0.28065675E-01
 184      1.50879460    0.27946976E-01
 185      1.50929460    0.27828596E-01
 186      1.50979460    0.27710535E-01
 187      1.51029460    0.27592793E-01
 188      1.51079460    0.27475368E-01
 189      1.51129460    0.27358262E-01
 190      1.51179460    0.27241473E-01
 191      1.51229460    0.27125001E-01
 192      1.51279460    0.27008845E-01
 193      1.51329460    0.26893005E-01
 194      1.51379460    0.26777481E-01
 195      1.51429460    0.26662272E-01
 196      1.51479460    0.26547378E-01
 197      1.51529460    0.26432798E-01
 198      1.51579460    0.26318532E-01
 199      1.51629460    0.26204579E-01
 200      1.51679460    0.26090939E-01
 201      1.51729460    0.25977612E-01
 202      1.51779460    0.25864597E-01
 203      1.51829460    0.25751894E-01
 204      1.51879460    0.25639502E-01
 205      1.51929460    0.25527421E-01
 206      1.51979460    0.25415650E-01
 207      1.52029460    0.25304190E-01
 208      1.52079460    0.25193039E-01
 209      1.52129460    0.25082197E-01
 210      1.52179460    0.24971664E-01
 211      1.52229460    0.24861439E-01
 212      1.52279460    0.24751522E-01
 213      1.52329460    0.24641912E-01
 214      1.52379460    0.24532610E-01
 215      1.52429460    0.24423614E-01
 216      1.52479460    0.24314925E-01
 217      1.52529460    0.24206541E-01
 218      1.52579460    0.24098462E-01
 219      1.52629460    0.23990689E-01
 220      1.52679460    0.23883219E-01
 221      1.52729460    0.23776054E-01
 222      1.52779460    0.23669193E-01
 223      1.52829460    0.23562635E-01
 224      1.52879460    0.23456380E-01
 225      1.52929460    0.23350427E-01
 226      1.52979460    0.23244776E-01
 227      1.53029460    0.23139426E-01
 228      1.53079460    0.23034378E-01
 229      1.53129460    0.22929631E-01
 230      1.53179460    0.22825183E-01
 231      1.53229460    0.22721036E-01
 232      1.53279460    0.22617188E-01
 233      1.53329460    0.22513639E-01
 234      1.53379460    0.22410389E-01
 235      1.53429460    0.22307437E-01
 236      1.53479460    0.22204783E-01
 237      1.53529460    0.22102426E-01
 238      1.53579460    0.22000367E-01
 239      1.53629460    0.21898603E-01
 240      1.53679460    0.21797136E-01
 241      1.53729460    0.21695965E-01
 242      1.53779460    0.21595089E-01
 243      1.53829460    0.21494507E-01
 244      1.53879460    0.21394221E-01
 245      1.53929460    0.21294228E-01
 246      1.53979460    0.21194529E-01
 247      1.54029460    0.21095123E-01
 248      1.54079460    0.20996010E-01
 249      1.54129460    0.20897190E-01
 250      1.54179460    0.20798661E-01
 251      1.54229460    0.20700424E-01
 252      1.54279460    0.20602478E-01
 253      1.54329460    0.20504823E-01
 254      1.54379460    0.20407459E-01
 255      1.54429460    0.20310384E-01
 256      1.54479460    0.20213599E-01
 257      1.54529460    0.20117103E-01
 258      1.54579460    0.20020896E-01
 259      1.54629460    0.19924977E-01
 260      1.54679460    0.19829346E-01
 261      1.54729460    0.19734002E-01
 262      1.54779460    0.19638946E-01
 263      1.54829460    0.19544176E-01
 264      1.54879460    0.19449693E-01
 265      1.54929460    0.19355495E-01
 266      1.54979460    0.19261583E-01
 267      1.55029460    0.19167956E-01
 268      1.55079460    0.19074613E-01
 269      1.55129460    0.18981555E-01
 270      1.55179460    0.18888781E-01
 271      1.55229460    0.18796290E-01
 272      1.55279460    0.18704082E-01
 273      1.55329460    0.18612157E-01
 274      1.55379460    0.18520514E-01
 275      1.55429460    0.18429153E-01
 276      1.55479460    0.18338073E-01
 277      1.55529460    0.18247275E-01
 278      1.55579460    0.18156757E-01
 279      1.55629460    0.18066519E-01
 280      1.55679460    0.17976561E-01
 281      1.55729460    0.17886882E-01
 282      1.55779460    0.17797483E-01
 283      1.55829460    0.17708362E-01
 284      1.55879460    0.17619519E-01
 285      1.55929460    0.17530954E-01
 286      1.55979460    0.17442666E-01
 287      1.56029460    0.17354656E-01
 288      1.56079460    0.17266922E-01
 289      1.56129460    0.17179465E-01
 290      1.56179460    0.17092283E-01
 291      1.56229460    0.17005376E-01
 292      1.56279460    0.16918745E-01
 293      1.56329460    0.16832388E-01
 294      1.56379460    0.16746306E-01
 295      1.56429460    0.16660497E-01
 296      1.56479460    0.16574962E-01
 297      1.56529460    0.16489700E-01
 298      1.56579460    0.16404711E-01
 299      1.56629460    0.16319994E-01
 300      1.56679460    0.16235548E-01
 301      1.56729460    0.16151375E-01
 302      1.56779460    0.16067472E-01
 303      1.56829460    0.15983840E-01
 304      1.56879460    0.15900478E-01
 305      1.56929460    0.15817386E-01
 306      1.56979460    0.15734564E-01
 307      1.57029460    0.15652011E-01
 308      1.57079460    0.15569726E-01
 309      1.57129460    0.15487710E-01
 310      1.57179460    0.15405962E-01
 311      1.57229460    0.15324481E-01
 312      1.57279460    0.15243268E-01
 313      1.57329460    0.15162321E-01
 314      1.57379460    0.15081641E-01
 315      1.57429460    0.15001227E-01
 316      1.57479460    0.14921078E-01
 317      1.57529460    0.14841195E-01
 318      1.57579460    0.14761576E-01
 319      1.57629460    0.14682222E-01
 320      1.57679460    0.14603132E-01
 321      1.57729460    0.14524306E-01
 322      1.57779460    0.14445742E-01
 323      1.57829460    0.14367442E-01
 324      1.57879460    0.14289405E-01
 325      1.57929460    0.14211629E-01
 326      1.57979460    0.14134115E-01
 327      1.58029460    0.14056863E-01
 328      1.58079460    0.13979871E-01
 329      1.58129460    0.13903140E-01
 330      1.58179460    0.13826670E-01
 331      1.58229460    0.13750459E-01
 332      1.58279460    0.13674508E-01
 333      1.58329460    0.13598815E-01
 334      1.58379460    0.13523382E-01
 335      1.58429460    0.13448206E-01
 336      1.58479460    0.13373289E-01
 337      1.58529460    0.13298629E-01
 338      1.58579460    0.13224226E-01
 339      1.58629460    0.13150080E-01
 340      1.58679460    0.13076190E-01
 341      1.58729460    0.13002557E-01
 342      1.58779460    0.12929179E-01
 343      1.58829460    0.12856056E-01
 344      1.58879460    0.12783188E-01
 345      1.58929460    0.12710575E-01
 346      1.58979460    0.12638216E-01
 347      1.59029460    0.12566110E-01
 348      1.59079460    0.12494258E-01
 349      1.59129460    0.12422659E-01
 350      1.59179460    0.12351313E-01
 351      1.59229460    0.12280218E-01
 352      1.59279460    0.12209376E-01
 353      1.59329460    0.12138785E-01
 354      1.59379460    0.12068445E-01
 355      1.59429460    0.11998356E-01
 356      1.59479460    0.11928517E-01
 357      1.59529460    0.11858928E-01
 358      1.59579460    0.11789589E-01
 359      1.59629460    0.11720499E-01
 360      1.59679460    0.11651658E-01
 361      1.59729460    0.11583065E-01
 362      1.59779460    0.11514721E-01
 363      1.59829460    0.11446624E-01
 364      1.59879460    0.11378775E-01
 365      1.59929460    0.11311172E-01
 366      1.59979460    0.11243817E-01
 367      1.60029460    0.11176707E-01
 368      1.60079460    0.11109843E-01
 369      1.60129460    0.11043225E-01
 370      1.60179460    0.10976852E-01
 371      1.60229460    0.10910724E-01
 372      1.60279460    0.10844840E-01
 373      1.60329460    0.10779201E-01
 374      1.60379460    0.10713805E-01
 375      1.60429460    0.10648652E-01
 376      1.60479460    0.10583742E-01
 377      1.60529460    0.10519075E-01
 378      1.60579460    0.10454650E-01
 379      1.60629460    0.10390466E-01
 380      1.60679460    0.10326525E-01
 381      1.60729460    0.10262824E-01
 382      1.60779460    0.10199364E-01
 383      1.60829460    0.10136144E-01
 384      1.60879460    0.10073165E-01
 385      1.60929460    0.10010425E-01
 386      1.60979460    0.99479243E-02
 387      1.61029460    0.98856625E-02
 388      1.61079460    0.98236393E-02
 389      1.61129460    0.97618543E-02
 390      1.61179460    0.97003071E-02
 391      1.61229460    0.96389974E-02
 392      1.61279460    0.95779247E-02
 393      1.61329460    0.95170888E-02
 394      1.61379460    0.94564893E-02
 395      1.61429460    0.93961258E-02
 396      1.61479460    0.93359979E-02
 397      1.61529460    0.92761053E-02
 398      1.61579460    0.92164477E-02
 399      1.61629460    0.91570246E-02
 400      1.61679460    0.90978357E-02
 401      1.61729460    0.90388807E-02
 402      1.61779460    0.89801592E-02
 403      1.61829460    0.89216708E-02
 404      1.61879460    0.88634152E-02
 405      1.61929460    0.88053920E-02
 406      1.61979460    0.87476009E-02
 407      1.62029460    0.86900415E-02
 408      1.62079460    0.86327134E-02
 409      1.62129460    0.85756163E-02
 410      1.62179460    0.85187499E-02
 411      1.62229460    0.84621137E-02
 412      1.62279460    0.84057074E-02
 413      1.62329460    0.83495308E-02
 414      1.62379460    0.82935833E-02
 415      1.62429460    0.82378647E-02
 416      1.62479460    0.81823747E-02
 417      1.62529460    0.81271127E-02
 418      1.62579460    0.80720786E-02
 419      1.62629460    0.80172719E-02
 420      1.62679460    0.79626923E-02
 421      1.62729460    0.79083395E-02
 422      1.62779460    0.78542130E-02
 423      1.62829460    0.78003126E-02
 424      1.62879460    0.77466379E-02
 425      1.62929460    0.76931885E-02
 426      1.62979460    0.76399641E-02
 427      1.63029460    0.75869644E-02
 428      1.63079460    0.75341889E-02
 429      1.63129460    0.74816374E-02
 430      1.63179460    0.74293095E-02
 431      1.63229460    0.73772048E-02
 432      1.63279460    0.73253230E-02
 433      1.63329460    0.72736637E-02
 434      1.63379460    0.72222266E-02
 435      1.63429460    0.71710114E-02
 436      1.63479460    0.71200177E-02
 437      1.63529460    0.70692452E-02
 438      1.63579460    0.70186934E-02
 439      1.63629460    0.69683622E-02
 440      1.63679460    0.69182510E-02
 441      1.63729460    0.68683596E-02
 442      1.63779460    0.68186877E-02
 443      1.63829460    0.67692348E-02
 444      1.63879460    0.67200007E-02
 445      1.63929460    0.66709850E-02
 446      1.63979460    0.66221873E-02
 447      1.64029460    0.65736073E-02
 448      1.64079460    0.65252447E-02
 449      1.64129460    0.64770992E-02
 450      1.64179460    0.64291703E-02
 451      1.64229460    0.63814577E-02
 452      1.64279460    0.63339612E-02
 453      1.64329460    0.62866803E-02
 454      1.64379460    0.62396147E-02
 455      1.64429460    0.61927641E-02
 456      1.64479460    0.61461282E-02
 457      1.64529460    0.60997065E-02
 458      1.64579460    0.60534988E-02
 459      1.64629460    0.60075047E-02
 460      1.64679460    0.59617240E-02
 461      1.64729460    0.59161561E-02
 462      1.64779460    0.58708009E-02
 463      1.64829460    0.58256579E-02
 464      1.64879460    0.57807268E-02
 465      1.64929460    0.57360074E-02
 466      1.64979460    0.56914992E-02
 467      1.65029460    0.56472019E-02
 468      1.65079460    0.56031152E-02
 469      1.65129460    0.55592388E-02
 470      1.65179460    0.55155722E-02
 471      1.65229460    0.54721153E-02
 472      1.65279460    0.54288676E-02
 473      1.65329460    0.53858288E-02
 474      1.65379460    0.53429986E-02
 475      1.65429460    0.53003766E-02
 476      1.65479460    0.52579626E-02
 477      1.65529460    0.52157561E-02
 478      1.65579460    0.51737569E-02
 479      1.65629460    0.51319646E-02
 480      1.65679460    0.50903788E-02
 481      1.65729460    0.50489993E-02
 482      1.65779460    0.50078258E-02
 483      1.65829460    0.49668578E-02
 484      1.65879460    0.49260951E-02
 485      1.65929460    0.48855373E-02
 486      1.65979460    0.48451841E-02
 487      1.66029460    0.48050352E-02
 488      1.66079460    0.47650903E-02
 489      1.66129460    0.47253489E-02
 490      1.66179460    0.46858108E-02
 491      1.66229460    0.46464757E-02
 492      1.66279460    0.46073433E-02
 493      1.66329460    0.45684131E-02
 494      1.66379460    0.45296849E-02
 495      1.66429460    0.44911583E-02
 496      1.66479460    0.44528331E-02
 497      1.66529460    0.44147089E-02
 498      1.66579460    0.43767853E-02
 499      1.66629460    0.43390621E-02
 500      1.66679460    0.43015389E-02
 501      1.66729460    0.42642154E-02
 502      1.66779460    0.42270913E-02
 503      1.66829460    0.41901662E-02
 504      1.66879460    0.41534399E-02
 505      1.66929460    0.41169120E-02
 506      1.66979460    0.40805821E-02
 507      1.67029460    0.40444500E-02
 508      1.67079460    0.40085154E-02
 509      1.67129460    0.39727779E-02
 510      1.67179460    0.39372371E-02
 511      1.67229460    0.39018929E-02
 512      1.67279460    0.38667447E-02
 513      1.67329460    0.38317925E-02
 514      1.67379460    0.37970357E-02
 515      1.67429460    0.37624741E-02
 516      1.67479460    0.37281074E-02
 517      1.67529460    0.36939353E-02
 518      1.67579460    0.36599574E-02
 519      1.67629460    0.36261734E-02
 520      1.67679460    0.35925830E-02
 521      1.67729460    0.35591859E-02
 522      1.67779460    0.35259818E-02
 523      1.67829460    0.34929703E-02
 524      1.67879460    0.34601512E-02
 525      1.67929460    0.34275241E-02
 526      1.67979460    0.33950886E-02
 527      1.68029460    0.33628446E-02
 528      1.68079460    0.33307916E-02
 529      1.68129460    0.32989294E-02
 530      1.68179460    0.32672577E-02
 531      1.68229460    0.32357761E-02
 532      1.68279460    0.32044842E-02
 533      1.68329460    0.31733819E-02
 534      1.68379460    0.31424688E-02
 535      1.68429460    0.31117446E-02
 536      1.68479460    0.30812089E-02
 537      1.68529460    0.30508615E-02
 538      1.68579460    0.30207020E-02
 539      1.68629460    0.29907301E-02
 540      1.68679460    0.29609456E-02
 541      1.68729460    0.29313481E-02
 542      1.68779460    0.29019372E-02
 543      1.68829460    0.28727128E-02
 544      1.68879460    0.28436744E-02
 545      1.68929460    0.28148219E-02
 546      1.68979460    0.27861547E-02
 547      1.69029460    0.27576728E-02
 548      1.69079460    0.27293756E-02
 549      1.69129460    0.27012631E-02
 550      1.69179460    0.26733347E-02
 551      1.69229460    0.26455903E-02
 552      1.69279460    0.26180295E-02
 553      1.69329460    0.25906520E-02
 554      1.69379460    0.25634575E-02
 555      1.69429460    0.25364457E-02
 556      1.69479460    0.25096163E-02
 557      1.69529460    0.24829689E-02
 558      1.69579460    0.24565034E-02
 559      1.69629460    0.24302194E-02
 560      1.69679460    0.24041165E-02
 561      1.69729460    0.23781945E-02
 562      1.69779460    0.23524531E-02
 563      1.69829460    0.23268919E-02
 564      1.69879460    0.23015107E-02
 565      1.69929460    0.22763092E-02
 566      1.69979460    0.22512870E-02
 567      1.70029460    0.22264439E-02
 568      1.70079460    0.22017795E-02
 569      1.70129460    0.21772936E-02
 570      1.70179460    0.21529859E-02
 571      1.70229460    0.21288560E-02
 572      1.70279460    0.21049037E-02
 573      1.70329460    0.20811286E-02
 574      1.70379460    0.20575305E-02
 575      1.70429460    0.20341091E-02
 576      1.70479460    0.20108640E-02
 577      1.70529460    0.19877950E-02
 578      1.70579460    0.19649017E-02
 579      1.70629460    0.19421839E-02
 580      1.70679460    0.19196413E-02
 581      1.70729460    0.18972736E-02
 582      1.70779460    0.18750804E-02
 583      1.70829460    0.18530615E-02
 584      1.70879460    0.18312167E-02
