 Step   rOH   Energy
   1      1.41729460    0.70593323E-01
   2      1.41779460    0.70361541E-01
   3      1.41829460    0.70130305E-01
   4      1.41879460    0.69899612E-01
   5      1.41929460    0.69669461E-01
   6      1.41979460    0.69439852E-01
   7      1.42029460    0.69210784E-01
   8      1.42079460    0.68982256E-01
   9      1.42129460    0.68754266E-01
  10      1.42179460    0.68526814E-01
  11      1.42229460    0.68299899E-01
  12      1.42279460    0.68073520E-01
  13      1.42329460    0.67847677E-01
  14      1.42379460    0.67622367E-01
  15      1.42429460    0.67397590E-01
  16      1.42479460    0.67173346E-01
  17      1.42529460    0.66949633E-01
  18      1.42579460    0.66726450E-01
  19      1.42629460    0.66503797E-01
  20      1.42679460    0.66281672E-01
  21      1.42729460    0.66060075E-01
  22      1.42779460    0.65839005E-01
  23      1.42829460    0.65618460E-01
  24      1.42879460    0.65398441E-01
  25      1.42929460    0.65178945E-01
  26      1.42979460    0.64959972E-01
  27      1.43029460    0.64741521E-01
  28      1.43079460    0.64523592E-01
  29      1.43129460    0.64306182E-01
  30      1.43179460    0.64089293E-01
  31      1.43229460    0.63872921E-01
  32      1.43279460    0.63657067E-01
  33      1.43329460    0.63441730E-01
  34      1.43379460    0.63226908E-01
  35      1.43429460    0.63012602E-01
  36      1.43479460    0.62798809E-01
  37      1.43529460    0.62585529E-01
  38      1.43579460    0.62372762E-01
  39      1.43629460    0.62160506E-01
  40      1.43679460    0.61948760E-01
  41      1.43729460    0.61737523E-01
  42      1.43779460    0.61526795E-01
  43      1.43829460    0.61316575E-01
  44      1.43879460    0.61106862E-01
  45      1.43929460    0.60897654E-01
  46      1.43979460    0.60688952E-01
  47      1.44029460    0.60480754E-01
  48      1.44079460    0.60273059E-01
  49      1.44129460    0.60065866E-01
  50      1.44179460    0.59859175E-01
  51      1.44229460    0.59652984E-01
  52      1.44279460    0.59447294E-01
  53      1.44329460    0.59242102E-01
  54      1.44379460    0.59037408E-01
  55      1.44429460    0.58833211E-01
  56      1.44479460    0.58629511E-01
  57      1.44529460    0.58426306E-01
  58      1.44579460    0.58223595E-01
  59      1.44629460    0.58021378E-01
  60      1.44679460    0.57819654E-01
  61      1.44729460    0.57618422E-01
  62      1.44779460    0.57417681E-01
  63      1.44829460    0.57217431E-01
  64      1.44879460    0.57017669E-01
  65      1.44929460    0.56818396E-01
  66      1.44979460    0.56619611E-01
  67      1.45029460    0.56421313E-01
  68      1.45079460    0.56223500E-01
  69      1.45129460    0.56026173E-01
  70      1.45179460    0.55829330E-01
  71      1.45229460    0.55632970E-01
  72      1.45279460    0.55437093E-01
