Chung et al. 295K / DOI:,
Wavelength / nm,Cross section / cm^2
140,7.99
141,8.03
142,5.99
143,5.93
144,5.66
145,6
146,6.6
147,7.9
148,9.09
149,10.7
150,12.1
151,14.3
152,16.9
153,19.4
154,22
155,24.6
156,28.2
157,31.1
158,34.6
159,37.2
160,40.9
161,43.6
162,46.3
163,49
164,51.5
165,53.2
166,54.1
167,54.1
168,53.8
169,53.2
170,52.3
171,49.8
172,45.7
173,41.4
174,36.2
175,33.2
176,29.9
177,25.4
178,19.6
179,13.7
180,8.72
181,5.45
182,3.16
183,1.87
184,1.11
185,0.671
186,0.407
187,0.246
188,0.154
189,0.0956
190,0.0588
191,0.0385
192,0.0238
193,0.0162
194,0.0095
195,0.0058
