Lee & Suto / DOI: 10.1016/0301-0104(86)85154-0,
Energy / nm,Absorption cross section / 10^-18 cm^2 per molecule
139.0214477,0.991803279
139.2225201,1.06557377
139.5040214,1.098360656
139.6648794,1.049180328
139.7855228,0.991803279
139.8257373,0.93442623
139.9463807,0.868852459
140.0670241,0.803278689
140.1876676,0.729508197
140.4289544,0.680327869
140.7506702,0.663934426
141.0723861,0.672131148
141.2734584,0.68852459
141.4745308,0.663934426
141.6756032,0.631147541
141.9168901,0.598360656
142.1179625,0.56557377
142.3592493,0.532786885
142.6407507,0.516393443
142.8418231,0.5
143.1233244,0.5
143.4450402,0.5
143.7265416,0.491803279
144.0482574,0.483606557
144.2895442,0.483606557
144.5308311,0.483606557
144.772118,0.5
145.1742627,0.5
145.4959786,0.516393443
145.7774799,0.540983607
146.1796247,0.56557377
146.5013405,0.598360656
146.7828418,0.62295082
147.0241287,0.663934426
147.2654155,0.68852459
147.5067024,0.713114754
147.7882038,0.745901639
148.0294906,0.786885246
148.3512064,0.827868852
148.6729223,0.868852459
149.0348525,0.918032787
149.3163539,0.959016393
149.5978552,1
149.8391421,1.049180328
150.1206434,1.090163934
150.3619303,1.139344262
150.6032172,1.18852459
150.8847185,1.221311475
151.1662198,1.286885246
151.4075067,1.336065574
151.689008,1.385245902
151.9302949,1.442622951
152.1313673,1.483606557
152.3726542,1.540983607
152.613941,1.590163934
152.8954424,1.639344262
153.1769437,1.704918033
153.3378016,1.754098361
153.5790885,1.819672131
153.7801609,1.860655738
153.9812332,1.909836066
154.1018767,1.950819672
154.3431635,2.008196721
154.5442359,2.057377049
154.7050938,2.106557377
154.9463807,2.172131148
155.1072386,2.221311475
155.308311,2.262295082
155.5093834,2.327868852
155.6702413,2.385245902
155.9517426,2.467213115
156.233244,2.549180328
156.4343164,2.62295082
156.7158177,2.713114754
156.997319,2.786885246
157.2386059,2.87704918
157.4396783,2.950819672
157.7211796,3.008196721
157.9624665,3.090163934
158.2037534,3.172131148
158.4450402,3.245901639
158.6863271,3.344262295
159.0080429,3.426229508
159.2493298,3.508196721
159.5308311,3.606557377
159.8525469,3.696721311
160.0938338,3.770491803
160.3351206,3.844262295
160.5764075,3.909836066
160.8176944,3.983606557
161.1796247,4.090163934
161.5817694,4.18852459
161.8632708,4.278688525
162.3458445,4.385245902
163.1099196,4.573770492
163.5924933,4.680327869
163.9544236,4.762295082
164.2761394,4.836065574
164.6380697,4.885245902
164.9597855,4.93442623
165.2815013,4.975409836
165.4825737,5.008196721
165.6434316,5.032786885
165.8847185,5.040983607
166.0857909,5.057377049
166.3270777,5.081967213
166.6085791,5.090163934
166.8900804,5.114754098
167.1313673,5.114754098
167.2922252,5.12295082
167.4530831,5.114754098
167.69437,5.106557377
167.9356568,5.106557377
168.1769437,5.090163934
168.4986595,5.081967213
168.7801609,5.049180328
169.1018767,5.016393443
169.4235925,4.991803279
169.7050938,4.967213115
170.0670241,4.926229508
170.4289544,4.868852459
170.9517426,4.786885246
171.2734584,4.721311475
171.5147453,4.639344262
171.7962466,4.557377049
172.1179625,4.483606557
172.3592493,4.393442623
172.5201072,4.31147541
172.6809651,4.262295082
172.8418231,4.204918033
172.9624665,4.147540984
173.0831099,4.090163934
173.2037534,4.024590164
173.3243968,3.967213115
173.4450402,3.901639344
173.6058981,3.836065574
173.7265416,3.778688525
173.8873995,3.713114754
174.0884718,3.639344262
174.2493298,3.56557377
174.4906166,3.491803279
174.7319035,3.409836066
174.9329759,3.327868852
175.2144772,3.245901639
175.4557641,3.172131148
175.7372654,3.106557377
175.8981233,3.040983607
176.0589812,2.975409836
176.2600536,2.901639344
176.4209115,2.836065574
176.6219839,2.762295082
176.7426273,2.696721311
176.9034853,2.631147541
177.0643432,2.590163934
177.2654155,2.532786885
177.3458445,2.475409836
177.4664879,2.418032787
177.5871314,2.360655738
177.7077748,2.31147541
177.8284182,2.245901639
177.9490617,2.172131148
178.1099196,2.106557377
178.230563,2.040983607
178.3512064,1.983606557
178.4718499,1.909836066
178.5924933,1.836065574
178.6729223,1.770491803
178.8739946,1.68852459
178.9544236,1.62295082
179.075067,1.524590164
179.2761394,1.442622951
179.3967828,1.360655738
179.5576408,1.278688525
179.7587131,1.172131148
179.919571,1.098360656
180.1206434,1.016393443
180.3217158,0.926229508
180.5630027,0.836065574
180.7640751,0.754098361
181.0053619,0.680327869
181.2868633,0.598360656
181.5281501,0.516393443
181.769437,0.459016393
182.0911528,0.401639344
182.4932976,0.319672131
182.8150134,0.262295082
183.2171582,0.221311475
183.4986595,0.18852459
183.7801609,0.147540984
184.1018767,0.131147541
184.463807,0.106557377
