Mota et al. / DOI: 10.1016/j.cplett.2005.09.073,
Energy / eV,Absorption Cross Section / Mb
6.499992749,0.012519148
6.52735867,0.012638792
6.552444098,0.012748466
6.586644248,0.021642028
6.618563905,0.030525619
6.655044549,0.039429152
6.684676462,0.057046779
6.707466894,0.074634496
6.721135352,0.092182331
6.737084304,0.109740136
6.750745511,0.136031978
6.762126225,0.162313849
6.773506938,0.18859572
6.784887652,0.214877591
6.793980621,0.249893498
6.807620075,0.302417359
6.818979035,0.35493125
6.830323493,0.424933153
6.843941193,0.503689034
6.855271148,0.59117895
6.866601104,0.678668866
6.87335557,0.783626855
6.884692777,0.862372765
6.893713234,0.984828736
6.905021436,1.098550672
6.911746898,1.238484686
6.920781858,1.343452645
6.929780561,1.492140636
6.941052508,1.649582604
6.950080216,1.76329457
6.956834682,1.868252558
6.965826135,2.025684556
6.979364072,2.200624507
6.988362776,2.349312498
6.999656476,2.480522447
7.008676933,2.602978419
7.022258377,2.725454331
7.033537575,2.874152293
7.051658252,3.022880165
7.065232445,3.154100084
7.081094383,3.276585967
7.099222312,3.416569833
7.115062496,3.565287736
7.128651191,3.679019642
7.144469622,3.853969563
7.164827286,4.055171445
7.185177699,4.265117333
7.198708385,4.448801291
7.225878525,4.685009109
7.248560189,4.833756923
7.266717123,4.938764763
7.284903061,5.008796577
7.307664488,5.06136032
7.335001405,5.09645599
7.36007233,5.114053677
7.391970234,5.149169288
7.410192428,5.17548107
7.423868137,5.184284899
7.439831592,5.184354691
7.45808279,5.175690447
7.47634124,5.158282197
7.496909188,5.105907892
7.512908898,5.062257652
7.533505851,4.974907321
7.565541527,4.843886809
7.588433475,4.739058435
7.606757185,4.642954127
7.622793151,4.555583855
7.63652687,4.494435632
7.650260589,4.433287409
7.661713814,4.372129216
7.680037525,4.276024908
7.684627516,4.241068823
7.693792997,4.188644665
7.702958478,4.136220508
7.709843465,4.08378638
7.718994444,4.048850236
7.728159925,3.996426079
7.735044912,3.943991951
7.755663618,3.830409601
7.764858104,3.743009417
7.776325831,3.664363211
7.790081304,3.576982969
7.80611727,3.489612697
7.826750478,3.358542333
7.838232708,3.262408114
7.854261423,3.183781849
7.863448657,3.105125672
7.874901883,3.043967478
7.888650104,2.965331243
7.90468607,2.877960971
7.918441542,2.790580728
7.932189763,2.711944492
7.945952487,2.615820243
7.968851686,2.502247863
7.984902155,2.397389578
8.007808605,2.275073192
8.012413099,2.222629094
8.026139567,2.170224877
8.039866035,2.11782066
8.042182784,2.074110598
8.060484741,2.00423831
8.067384231,1.934316169
8.090261677,1.846975808
8.113146374,1.750891441
8.145196552,1.602382916
8.165793505,1.515032585
8.17724673,1.453874392
8.195541436,1.392746109
8.216131137,1.314139784
8.239008584,1.226799424
8.26188603,1.139459063
8.289317212,1.060882649
8.323611627,0.956104127
8.351035558,0.88627172
8.378452237,0.825183319
8.410437155,0.755370852
8.444695315,0.694312362
8.481241219,0.624519836
8.520045864,0.5809693
8.54744079,0.546112919
8.570245724,0.546212622
8.595331152,0.546322296
8.624992069,0.528963898
8.650048492,0.564049598
8.677436167,0.537937223
8.70480934,0.529312861
8.720707533,0.608078711
8.73436874,0.634370553
8.757115665,0.704422308
8.773028361,0.765700146
8.784409075,0.791982017
8.798128291,0.748321807
8.814142504,0.687183554
8.830091455,0.70474136
8.841421411,0.792231276
8.850470873,0.879711222
8.859498581,0.993423187
8.866260299,1.08963717
8.877604757,1.159639073
8.895776193,1.2471589
8.907214916,1.20348872
8.920948635,1.142340497
8.930099613,1.107404353
8.945997807,1.186170203
8.959557497,1.334878135
8.968556201,1.483566126
8.979777389,1.702216139
8.993344331,1.842180065
