1000K PIGLE 4 bead 1000 geometries / EOM-CCSD,
# Energy (nm),Intensity / cmÂ² per molecule
277.098254,9.03E-216
275.9503047,5.96E-211
274.8118274,3.43E-206
273.6827055,1.72E-201
272.5628241,7.49E-197
271.4520703,2.84E-192
270.3503328,9.39E-188
269.2575024,2.70E-183
268.1734714,6.76E-179
267.0981341,1.47E-174
266.0313862,2.80E-170
264.9731253,4.62E-166
263.9232504,6.65E-162
262.8816624,8.33E-158
261.8482633,9.09E-154
260.8229572,8.63E-150
259.8056492,7.13E-146
258.7962461,5.13E-142
257.7946562,3.21E-138
256.8007891,1.75E-134
255.8145558,8.32E-131
254.8358687,3.44E-127
253.8646415,1.24E-123
252.9007893,3.88E-120
251.9442283,1.06E-116
250.9948762,2.51E-113
250.0526518,5.19E-110
249.117475,9.34E-107
248.1892671,1.46E-103
247.2679505,2.00E-100
246.3534488,2.37E-97
245.4456866,2.45E-94
244.5445896,2.21E-91
243.6500848,1.73E-88
242.7621001,1.18E-85
241.8805644,7.01E-83
241.0054077,3.63E-80
240.136561,1.63E-77
239.2739564,6.40E-75
238.4175268,2.18E-72
237.5672062,6.49E-70
236.7229294,1.68E-67
235.8846321,3.78E-65
235.0522512,7.40E-63
234.2257242,1.26E-60
233.4049895,1.88E-58
232.5899865,2.43E-56
231.7806554,2.73E-54
230.9769371,2.68E-52
230.1787734,2.29E-50
229.386107,1.70E-48
228.5988813,1.10E-46
227.8170405,6.20E-45
227.0405294,3.04E-43
226.2692938,1.30E-41
225.5032801,4.82E-40
224.7424354,1.56E-38
223.9867077,4.39E-37
223.2360453,1.08E-35
222.4903977,2.30E-34
221.7497147,4.28E-33
221.0139468,6.92E-32
220.2830454,9.75E-31
219.5569623,1.20E-29
218.83565,1.28E-28
218.1190616,1.19E-27
217.4071509,9.61E-27
216.6998723,6.77E-26
215.9971807,4.15E-25
215.2990315,2.22E-24
214.605381,1.03E-23
213.9161857,4.18E-23
213.2314028,1.47E-22
212.5509902,4.52E-22
211.8749061,1.21E-21
211.2031094,2.80E-21
210.5355594,5.68E-21
209.8722159,1.00E-20
209.2130393,1.54E-20
208.5579906,2.05E-20
207.9070309,2.39E-20
207.2601222,2.44E-20
206.6172268,2.20E-20
205.9783074,1.82E-20
205.3433273,1.55E-20
204.7122501,1.61E-20
204.08504,2.16E-20
203.4616615,3.20E-20
202.8420796,4.55E-20
202.2262598,5.93E-20
201.6141679,7.05E-20
201.0057701,7.79E-20
200.4010331,8.24E-20
199.799924,8.64E-20
199.2024101,9.20E-20
198.6084595,9.99E-20
198.0180401,1.10E-19
197.4311208,1.20E-19
196.8476704,1.31E-19
196.2676583,1.44E-19
195.6910541,1.56E-19
195.117828,1.64E-19
194.5479503,1.65E-19
193.9813917,1.55E-19
193.4181235,1.38E-19
192.8581169,1.20E-19
192.3013437,1.10E-19
191.747776,1.17E-19
191.1973863,1.46E-19
190.6501472,1.99E-19
190.1060317,2.74E-19
189.5650131,3.66E-19
189.0270652,4.64E-19
188.4921618,5.62E-19
187.9602772,6.50E-19
187.4313859,7.24E-19
186.9054626,7.80E-19
186.3824826,8.19E-19
185.862421,8.47E-19
185.3452537,8.75E-19
184.8309564,9.13E-19
184.3195053,9.70E-19
183.810877,1.05E-18
183.305048,1.14E-18
182.8019954,1.24E-18
182.3016963,1.33E-18
181.8041283,1.41E-18
181.3092689,1.48E-18
180.8170962,1.55E-18
180.3275882,1.64E-18
179.8407236,1.77E-18
179.3564808,1.95E-18
178.8748387,2.17E-18
178.3957766,2.42E-18
177.9192736,2.67E-18
177.4453093,2.89E-18
176.9738636,3.06E-18
176.5049164,3.19E-18
176.0384478,3.29E-18
175.5744383,3.40E-18
175.1128685,3.53E-18
174.6537191,3.67E-18
174.1969713,3.79E-18
173.7426062,3.90E-18
173.2906052,4.01E-18
172.8409499,4.18E-18
172.3936221,4.45E-18
171.9486037,4.85E-18
171.505877,5.31E-18
171.0654243,5.79E-18
170.6272281,6.20E-18
170.1912711,6.52E-18
169.7575361,6.71E-18
169.3260063,6.80E-18
168.8966649,6.82E-18
168.4694953,6.80E-18
168.0444809,6.80E-18
167.6216056,6.82E-18
167.2008533,6.87E-18
166.7822079,6.90E-18
166.3656538,6.92E-18
165.9511753,6.92E-18
165.5387568,6.92E-18
165.1283832,6.96E-18
164.7200391,7.00E-18
164.3137097,7.01E-18
163.90938,6.95E-18
163.5070352,6.82E-18
163.1066609,6.63E-18
162.7082426,6.42E-18
162.311766,6.21E-18
161.9172168,6.00E-18
161.5245812,5.78E-18
161.1338452,5.55E-18
160.744995,5.29E-18
160.3580171,5.02E-18
159.9728979,4.77E-18
159.5896241,4.54E-18
159.2081825,4.34E-18
158.8285599,4.15E-18
158.4507434,3.95E-18
158.0747201,3.73E-18
157.7004773,3.49E-18
157.3280023,3.23E-18
156.9572827,2.98E-18
156.5883061,2.76E-18
156.2210602,2.57E-18
155.8555328,2.40E-18
155.491712,2.24E-18
155.1295859,2.06E-18
154.7691425,1.86E-18
154.4103702,1.66E-18
154.0532574,1.45E-18
153.6977926,1.25E-18
153.3439645,1.07E-18
152.9917617,9.06E-19
152.6411731,7.72E-19
152.2921876,6.71E-19
151.9447942,5.99E-19
151.5989821,5.50E-19
151.2547406,5.16E-19
150.9120588,4.92E-19
150.5709263,4.83E-19
150.2313325,4.97E-19
149.8932671,5.38E-19
149.5567198,6.06E-19
149.2216804,6.93E-19
148.8881388,7.83E-19
148.5560848,8.55E-19
148.2255087,8.90E-19
147.8964006,8.77E-19
147.5687507,8.22E-19
147.2425493,7.52E-19
146.9177869,7.00E-19
