qTIP4P/F single point,Atmospec gaussing broadening = 0.3eV
# Energy (nm),Intensity / cmÂ² per molecule
204.6085671,3.22E-23
204.1384732,4.06E-23
203.6705344,5.11E-23
203.204736,6.41E-23
202.7410633,8.03E-23
202.2795018,1.00E-22
201.8200372,1.25E-22
201.362655,1.56E-22
200.9073414,1.93E-22
200.4540821,2.39E-22
200.0028634,2.96E-22
199.5536715,3.65E-22
199.1064928,4.49E-22
198.6613138,5.52E-22
198.218121,6.76E-22
197.7769013,8.27E-22
197.3376415,1.01E-21
196.9003286,1.23E-21
196.4649496,1.49E-21
196.0314917,1.81E-21
195.5999423,2.19E-21
195.1702887,2.64E-21
194.7425186,3.18E-21
194.3166195,3.83E-21
193.8925792,4.59E-21
193.4703856,5.49E-21
193.0500267,6.56E-21
192.6314904,7.81E-21
192.2147649,9.29E-21
191.7998386,1.10E-20
191.3866999,1.30E-20
190.9753371,1.54E-20
190.5657388,1.82E-20
190.1578938,2.14E-20
189.7517908,2.51E-20
189.3474187,2.94E-20
188.9447663,3.43E-20
188.5438228,4.00E-20
188.1445774,4.65E-20
187.7470192,5.40E-20
187.3511375,6.26E-20
186.9569219,7.24E-20
186.5643618,8.35E-20
186.1734467,9.61E-20
185.7841664,1.10E-19
185.3965107,1.26E-19
185.0104693,1.45E-19
184.6260323,1.65E-19
184.2431896,1.88E-19
183.8619314,2.13E-19
183.4822478,2.42E-19
183.1041291,2.74E-19
182.7275656,3.09E-19
182.3525478,3.48E-19
181.9790662,3.91E-19
181.6071113,4.39E-19
181.2366739,4.91E-19
180.8677445,5.48E-19
180.5003142,6.11E-19
180.1343736,6.79E-19
179.7699139,7.53E-19
179.4069259,8.34E-19
179.0454009,9.21E-19
178.68533,1.02E-18
178.3267044,1.12E-18
177.9695155,1.23E-18
177.6137546,1.34E-18
177.2594133,1.47E-18
176.9064829,1.60E-18
176.5549551,1.74E-18
176.2048216,1.89E-18
175.8560741,2.05E-18
175.5087044,2.21E-18
175.1627042,2.39E-18
174.8180656,2.57E-18
174.4747805,2.76E-18
174.132841,2.96E-18
173.7922391,3.16E-18
173.4529671,3.37E-18
173.1150171,3.59E-18
172.7783814,3.82E-18
172.4430524,4.05E-18
172.1090226,4.28E-18
171.7762843,4.52E-18
171.44483,4.76E-18
171.1146525,5.00E-18
170.7857442,5.25E-18
170.4580979,5.49E-18
170.1317064,5.73E-18
169.8065624,5.97E-18
169.4826589,6.21E-18
169.1599887,6.44E-18
168.8385447,6.67E-18
168.5183201,6.89E-18
168.1993079,7.10E-18
167.8815013,7.30E-18
167.5648933,7.50E-18
167.2494773,7.68E-18
166.9352464,7.84E-18
166.6221942,8.00E-18
166.3103138,8.14E-18
165.9995988,8.26E-18
165.6900427,8.37E-18
165.3816389,8.46E-18
165.0743811,8.53E-18
164.7682629,8.59E-18
164.4632779,8.63E-18
164.1594198,8.65E-18
163.8566825,8.65E-18
163.5550598,8.63E-18
163.2545454,8.59E-18
162.9551333,8.53E-18
162.6568175,8.46E-18
162.3595919,8.37E-18
162.0634506,8.26E-18
161.7683877,8.14E-18
161.4743972,8.00E-18
161.1814733,7.84E-18
160.8896103,7.68E-18
160.5988023,7.50E-18
160.3090437,7.30E-18
160.0203289,7.10E-18
159.7326521,6.89E-18
159.4460078,6.67E-18
