H2O at EOM-CCSD/aug-cc-pVDZ,,
# Energy (nm),Intensity / cmÂ² per molecule,"gaussian broadening, width = 0.3 eV"
208.4037601,3.12E-23,
207.9025919,3.96E-23,
207.4038284,5.01E-23,
206.9074522,6.32E-23,
206.4134463,7.97E-23,
205.9217937,1.00E-22,
205.4324777,1.26E-22,
204.9454816,1.57E-22,
204.460789,1.96E-22,
203.9783835,2.44E-22,
203.4982491,3.04E-22,
203.0203697,3.77E-22,
202.5447295,4.66E-22,
202.0713127,5.75E-22,
201.6001039,7.08E-22,
201.1310875,8.70E-22,
200.6642484,1.07E-21,
200.1995714,1.30E-21,
199.7370415,1.59E-21,
199.276644,1.94E-21,
198.8183639,2.35E-21,
198.3621869,2.85E-21,
197.9080984,3.45E-21,
197.4560842,4.16E-21,
197.00613,5.01E-21,
196.5582219,6.01E-21,
196.1123458,7.20E-21,
195.668488,8.61E-21,
195.2266348,1.03E-20,
194.7867727,1.22E-20,
194.3488882,1.45E-20,
193.9129681,1.72E-20,
193.4789991,2.03E-20,
193.0469682,2.39E-20,
192.6168623,2.82E-20,
192.1886688,3.31E-20,
191.7623748,3.87E-20,
191.3379678,4.52E-20,
190.9154352,5.27E-20,
190.4947646,6.13E-20,
190.0759438,7.12E-20,
189.6589607,8.24E-20,
189.243803,9.52E-20,
188.8304589,1.10E-19,
188.4189165,1.26E-19,
188.0091641,1.45E-19,
187.6011899,1.66E-19,
187.1949825,1.89E-19,
186.7905305,2.15E-19,
186.3878223,2.45E-19,
185.9868469,2.78E-19,
185.5875929,3.14E-19,
185.1900495,3.55E-19,
184.7942055,4.00E-19,
184.4000502,4.49E-19,
184.0075727,5.04E-19,
183.6167623,5.63E-19,
183.2276086,6.29E-19,
182.8401008,7.00E-19,
182.4542287,7.78E-19,
182.0699818,8.63E-19,
181.68735,9.54E-19,
181.3063231,1.05E-18,
180.926891,1.16E-18,
180.5490437,1.27E-18,
180.1727713,1.40E-18,
179.7980639,1.53E-18,
179.4249119,1.66E-18,
179.0533056,1.81E-18,
178.6832353,1.97E-18,
178.3146917,2.13E-18,
177.9476651,2.30E-18,
177.5821464,2.49E-18,
177.2181262,2.68E-18,
176.8555954,2.87E-18,
176.4945448,3.08E-18,
176.1349653,3.29E-18,
175.776848,3.51E-18,
175.420184,3.73E-18,
175.0649645,3.96E-18,
174.7111807,4.19E-18,
174.3588239,4.43E-18,
174.0078855,4.67E-18,
173.6583569,4.91E-18,
173.3102298,5.16E-18,
172.9634956,5.40E-18,
172.618146,5.64E-18,
172.2741728,5.88E-18,
