H2O at EOM-CCSD/aug-cc-pVTZ,,
# Energy (nm),Intensity / cmÂ² per molecule,"gaussian broadening, width = 0.3 eV"
203.2771549,2.92E-23,
202.8264684,3.65E-23,
202.377776,4.56E-23,
201.9310644,5.69E-23,
201.4863205,7.08E-23,
201.0435314,8.80E-23,
200.6026842,1.09E-22,
200.1637661,1.35E-22,
199.7267645,1.66E-22,
199.2916669,2.05E-22,
198.8584609,2.52E-22,
198.4271341,3.09E-22,
197.9976744,3.79E-22,
197.5700696,4.63E-22,
197.1443079,5.64E-22,
196.7203772,6.86E-22,
196.2982658,8.34E-22,
195.877962,1.01E-21,
195.4594542,1.22E-21,
195.0427309,1.47E-21,
194.6277808,1.78E-21,
194.2145926,2.14E-21,
193.803155,2.56E-21,
193.3934569,3.07E-21,
192.9854874,3.66E-21,
192.5792355,4.37E-21,
192.1746904,5.20E-21,
191.7718414,6.17E-21,
191.3706778,7.31E-21,
190.9711891,8.65E-21,
190.5733648,1.02E-20,
190.1771945,1.20E-20,
189.7826679,1.41E-20,
189.3897749,1.66E-20,
188.9985052,1.94E-20,
188.6088489,2.27E-20,
188.220796,2.64E-20,
187.8343366,3.07E-20,
187.4494609,3.57E-20,
187.0661592,4.14E-20,
186.6844219,4.78E-20,
186.3042395,5.52E-20,
185.9256023,6.36E-20,
185.5485011,7.31E-20,
185.1729265,8.38E-20,
184.7988693,9.59E-20,
184.4263202,1.10E-19,
184.0552702,1.25E-19,
183.6857102,1.42E-19,
183.3176314,1.61E-19,
182.9510247,1.83E-19,
182.5858814,2.07E-19,
182.2221928,2.33E-19,
181.8599501,2.63E-19,
181.4991448,2.95E-19,
181.1397683,3.31E-19,
180.7818121,3.70E-19,
180.4252679,4.14E-19,
180.0701273,4.61E-19,
179.7163821,5.13E-19,
179.364024,5.69E-19,
179.0130448,6.31E-19,
178.6634366,6.97E-19,
178.3151913,7.69E-19,
177.9683009,8.47E-19,
177.6227575,9.31E-19,
177.2785534,1.02E-18,
176.9356807,1.12E-18,
176.5941317,1.22E-18,
176.2538989,1.33E-18,
175.9149745,1.45E-18,
175.5773511,1.57E-18,
175.2410211,1.70E-18,
174.9059772,1.84E-18,
174.572212,1.98E-18,
174.2397182,2.13E-18,
173.9084886,2.29E-18,
173.5785158,2.46E-18,
173.2497929,2.63E-18,
172.9223127,2.81E-18,
172.5960682,3.00E-18,
172.2710524,3.19E-18,
171.9472584,3.38E-18,
171.6246792,3.58E-18,
171.3033082,3.79E-18,
170.9831384,3.99E-18,
170.6641632,4.20E-18,
170.346376,4.42E-18,
170.02977,4.63E-18,
169.7143387,4.84E-18,
169.4000755,5.06E-18,
169.0869741,5.27E-18,
168.775028,5.48E-18,
168.4642307,5.69E-18,
168.154576,5.89E-18,
167.8460576,6.09E-18,
167.5386692,6.28E-18,
167.2324046,6.47E-18,
166.9272577,6.64E-18,
166.6232224,6.81E-18,
166.3202925,6.97E-18,
166.0184622,7.11E-18,
165.7177254,7.25E-18,
165.4180761,7.37E-18,
165.1195085,7.48E-18,
164.8220168,7.57E-18,
164.5255951,7.65E-18,
164.2302377,7.72E-18,
163.9359388,7.77E-18,
163.6426929,7.80E-18,
163.3504941,7.82E-18,
163.059337,7.83E-18,
162.769216,7.81E-18,
162.4801255,7.78E-18,
162.1920601,7.74E-18,
161.9050143,7.68E-18,
161.6189827,7.60E-18,
161.33396,7.51E-18,
161.0499409,7.41E-18,
160.76692,7.29E-18,
160.484892,7.16E-18,
160.2038519,7.02E-18,
159.9237943,6.87E-18,
159.6447142,6.70E-18,
159.3666064,6.53E-18,
159.0894659,6.35E-18,
158.8132876,6.16E-18,
158.5380665,5.96E-18,
158.2637977,5.76E-18,
157.9904762,5.56E-18,
157.7180972,5.35E-18,
157.4466557,5.14E-18,
157.1761469,4.92E-18,
156.906566,4.71E-18,
156.6379084,4.49E-18,
156.3701691,4.28E-18,
156.1033436,4.07E-18,
155.8374271,3.86E-18,
155.572415,3.66E-18,
155.3083028,3.45E-18,
155.0450858,3.26E-18,
154.7827594,3.06E-18,
154.5213193,2.88E-18,
154.2607608,2.70E-18,
154.0010796,2.52E-18,
153.7422713,2.35E-18,
153.4843313,2.19E-18,
153.2272554,2.04E-18,
152.9710393,1.89E-18,
152.7156785,1.75E-18,
152.4611689,1.62E-18,
152.2075062,1.49E-18,
151.9546862,1.37E-18,
151.7027047,1.26E-18,
151.4515575,1.15E-18,
